??????;??????? 1;??????? 2;???? ? ?????
????????? ???? - ???? 1;MEX;RSA;2026-06-11 15:00
????????? ???? - ???? 2;KOR;CZE;2026-06-11 22:00
????????? ???? - ???? 3;CAN;BIH;2026-06-12 15:00
????????? ???? - ???? 4;USA;PAR;2026-06-12 21:00
????????? ???? - ???? 5;HAI;SCO;2026-06-13 21:00
????????? ???? - ???? 6;AUS;TUR;2026-06-13 00:00
????????? ???? - ???? 7;BRA;MAR;2026-06-13 18:00
????????? ???? - ???? 8;QAT;SUI;2026-06-13 15:00
????????? ???? - ???? 9;CIV;ECU;2026-06-14 19:00
????????? ???? - ???? 10;GER;CUW;2026-06-14 13:00
????????? ???? - ???? 11;NED;JPN;2026-06-14 16:00
????????? ???? - ???? 12;SWE;TUN;2026-06-14 22:00
????????? ???? - ???? 13;KSA;URU;2026-06-15 18:00
????????? ???? - ???? 14;ESP;CPV;2026-06-15 12:00
????????? ???? - ???? 15;IRN;NZL;2026-06-15 21:00
????????? ???? - ???? 16;BEL;EGY;2026-06-15 15:00
????????? ???? - ???? 17;FRA;SEN;2026-06-16 15:00
????????? ???? - ???? 18;IRQ;NOR;2026-06-16 18:00
????????? ???? - ???? 19;ARG;ALG;2026-06-16 21:00
????????? ???? - ???? 20;AUT;JOR;2026-06-16 00:00
????????? ???? - ???? 21;GHA;PAN;2026-06-17 19:00
????????? ???? - ???? 22;ENG;CRO;2026-06-17 16:00
????????? ???? - ???? 23;POR;COD;2026-06-17 13:00
????????? ???? - ???? 24;UZB;COL;2026-06-17 22:00
????????? ???? - ???? 25;CZE;RSA;2026-06-18 12:00
????????? ???? - ???? 26;SUI;BIH;2026-06-18 15:00
????????? ???? - ???? 27;CAN;QAT;2026-06-18 18:00
????????? ???? - ???? 28;MEX;KOR;2026-06-18 21:00
????????? ???? - ???? 29;BRA;HAI;2026-06-19 20:30
????????? ???? - ???? 30;SCO;MAR;2026-06-19 18:00
????????? ???? - ???? 31;TUR;PAR;2026-06-19 23:00
????????? ???? - ???? 32;USA;AUS;2026-06-19 15:00
????????? ???? - ???? 33;GER;CIV;2026-06-20 16:00
????????? ???? - ???? 34;ECU;CUW;2026-06-20 20:00
????????? ???? - ???? 35;NED;SWE;2026-06-20 13:00
????????? ???? - ???? 36;TUN;JPN;2026-06-20 00:00
????????? ???? - ???? 37;URU;CPV;2026-06-21 18:00
????????? ???? - ???? 38;ESP;KSA;2026-06-21 12:00
????????? ???? - ???? 39;BEL;IRN;2026-06-21 15:00
????????? ???? - ???? 40;NZL;EGY;2026-06-21 21:00
????????? ???? - ???? 41;NOR;SEN;2026-06-22 20:00
????????? ???? - ???? 42;FRA;IRQ;2026-06-22 17:00
