Стадия;Команда 1;Команда 2;Дата и время
Групповой этап - матч 1;Мексика;ЮАР;2026-06-11 22:00
Групповой этап - матч 2;Республика Корея;Чехия;2026-06-12 05:00
Групповой этап - матч 3;Канада;Босния и Герцеговина;2026-06-12 22:00
Групповой этап - матч 4;США;Парагвай;2026-06-13 04:00
Групповой этап - матч 5;Гаити;Шотландия;2026-06-14 04:00
Групповой этап - матч 6;Австралия;Турция;2026-06-13 07:00
Групповой этап - матч 7;Бразилия;Марокко;2026-06-14 01:00
Групповой этап - матч 8;Катар;Швейцария;2026-06-13 22:00
Групповой этап - матч 9;Кот-д’Ивуар;Эквадор;2026-06-15 02:00
Групповой этап - матч 10;Германия;Кюрасао;2026-06-14 20:00
Групповой этап - матч 11;Нидерланды;Япония;2026-06-14 23:00
Групповой этап - матч 12;Швеция;Тунис;2026-06-15 05:00
Групповой этап - матч 13;Саудовская Аравия;Уругвай;2026-06-16 01:00
Групповой этап - матч 14;Испания;Кабо-Верде;2026-06-15 19:00
Групповой этап - матч 15;Иран;Новая Зеландия;2026-06-16 04:00
Групповой этап - матч 16;Бельгия;Египет;2026-06-15 22:00
Групповой этап - матч 17;Франция;Сенегал;2026-06-16 22:00
Групповой этап - матч 18;Ирак;Норвегия;2026-06-17 01:00
Групповой этап - матч 19;Аргентина;Алжир;2026-06-17 04:00
Групповой этап - матч 20;Австрия;Иордания;2026-06-16 07:00
Групповой этап - матч 21;Гана;Панама;2026-06-18 02:00
Групповой этап - матч 22;Англия;Хорватия;2026-06-17 23:00
Групповой этап - матч 23;Португалия;ДР Конго;2026-06-17 20:00
Групповой этап - матч 24;Узбекистан;Колумбия;2026-06-18 05:00
Групповой этап - матч 25;Чехия;ЮАР;2026-06-18 19:00
Групповой этап - матч 26;Швейцария;Босния и Герцеговина;2026-06-18 22:00
Групповой этап - матч 27;Канада;Катар;2026-06-19 01:00
Групповой этап - матч 28;Мексика;Республика Корея;2026-06-19 04:00
Групповой этап - матч 29;Бразилия;Гаити;2026-06-20 03:30
Групповой этап - матч 30;Шотландия;Марокко;2026-06-20 01:00
Групповой этап - матч 31;Турция;Парагвай;2026-06-20 06:00
Групповой этап - матч 32;США;Австралия;2026-06-19 22:00
Групповой этап - матч 33;Германия;Кот-д’Ивуар;2026-06-20 23:00
Групповой этап - матч 34;Эквадор;Кюрасао;2026-06-21 03:00
Групповой этап - матч 35;Нидерланды;Швеция;2026-06-20 20:00
Групповой этап - матч 36;Тунис;Япония;2026-06-20 07:00
Групповой этап - матч 37;Уругвай;Кабо-Верде;2026-06-22 01:00
Групповой этап - матч 38;Испания;Саудовская Аравия;2026-06-21 19:00
Групповой этап - матч 39;Бельгия;Иран;2026-06-21 22:00
Групповой этап - матч 40;Новая Зеландия;Египет;2026-06-22 04:00
Групповой этап - матч 41;Норвегия;Сенегал;2026-06-23 03:00
Групповой этап - матч 42;Франция;Ирак;2026-06-23 00:00
Групповой этап - матч 43;Аргентина;Австрия;2026-06-22 20:00
Групповой этап - матч 44;Иордания;Алжир;2026-06-23 06:00
Групповой этап - матч 45;Англия;Гана;2026-06-23 23:00
Групповой этап - матч 46;Панама;Хорватия;2026-06-24 02:00
Групповой этап - матч 47;Португалия;Узбекистан;2026-06-23 20:00
Групповой этап - матч 48;Колумбия;ДР Конго;2026-06-24 05:00
Групповой этап - матч 49;Шотландия;Бразилия;2026-06-25 01:00
Групповой этап - матч 50;Марокко;Гаити;2026-06-25 01:00
Групповой этап - матч 51;Швейцария;Канада;2026-06-24 22:00
Групповой этап - матч 52;Босния и Герцеговина;Катар;2026-06-24 22:00
Групповой этап - матч 53;Чехия;Мексика;2026-06-25 04:00
Групповой этап - матч 54;ЮАР;Республика Корея;2026-06-25 04:00
Групповой этап - матч 55;Кюрасао;Кот-д’Ивуар;2026-06-25 23:00
Групповой этап - матч 56;Эквадор;Германия;2026-06-25 23:00
Групповой этап - матч 57;Япония;Швеция;2026-06-26 02:00
Групповой этап - матч 58;Тунис;Нидерланды;2026-06-26 02:00
Групповой этап - матч 59;Турция;США;2026-06-26 05:00
Групповой этап - матч 60;Парагвай;Австралия;2026-06-26 05:00
Групповой этап - матч 61;Норвегия;Франция;2026-06-26 22:00
Групповой этап - матч 62;Сенегал;Ирак;2026-06-26 22:00
Групповой этап - матч 63;Египет;Иран;2026-06-27 06:00
Групповой этап - матч 64;Новая Зеландия;Бельгия;2026-06-27 06:00
Групповой этап - матч 65;Кабо-Верде;Саудовская Аравия;2026-06-27 03:00
Групповой этап - матч 66;Уругвай;Испания;2026-06-27 03:00
Групповой этап - матч 67;Панама;Англия;2026-06-28 00:00
Групповой этап - матч 68;Хорватия;Гана;2026-06-28 00:00
Групповой этап - матч 69;Алжир;Австрия;2026-06-28 05:00
Групповой этап - матч 70;Иордания;Аргентина;2026-06-28 05:00
Групповой этап - матч 71;Колумбия;Португалия;2026-06-28 02:30
Групповой этап - матч 72;ДР Конго;Узбекистан;2026-06-28 02:30
1/16 финала - матч 73;2-е место группы A;2-е место группы B;2026-06-28 22:00
1/16 финала - матч 74;1-е место группы E;3-е место групп ABCDF;2026-06-29 23:30
1/16 финала - матч 75;1-е место группы F;2-е место группы C;2026-06-30 04:00
1/16 финала - матч 76;1-е место группы C;2-е место группы F;2026-06-29 20:00
